text,valence,arousal,dominance,emotion_label,source
"I came home and had no idea my friends had thrown me a party for my birthday. PLAYER: Yesterday was my birthday and I had no idea my friends had thrown me a party! NPC: That sounds amazing, good for you!",0.65,0.78,0.55,surprised,empathetic
I recently went to the doctor for some tests  He checked to see if I have a disease. I'm very nervous. PLAYER: I recently went to the doctor to run some tests. NPC: I hope you didnt get any bad news from the doctor.,0.15,0.72,0.28,anxious,empathetic
"I overslept and missed my nephews party and really feel bad about it. PLAYER: Yesterday was my nephews birthday party. Unfortunately, I missed it! NPC: Uhmnn, so how do you  think  she would react?",0.18,0.62,0.32,guilty,empathetic
"My flight was cancelled  PLAYER: Had a board meeting  to attend ,yet at the last hour, after delay ,it was cancelled NPC: That is unfortunate. You must have really angry to have wasted your time.",0.12,0.79,0.58,angry,empathetic
I was furious because my firend owes me money. He was in the pub last night when I can't afford to go out. PLAYER: I am angry with my friend. NPC: What did he do to you?,0.12,0.92,0.52,furious,empathetic
I was early for my flight PLAYER: I get to the airport 3 hours before my flight leaves NPC: Really - are you scared of missing it?,0.62,0.48,0.75,prepared,empathetic
The people that bring more luggage than expected in the airplane are making me angry. PLAYER: The people that bring more cabin luggage than expected in the airplane are making me angry. NPC: That shouldn't be allowed in the first place.,0.12,0.92,0.52,furious,empathetic
I recently saw someone eat a week old tuna sandwich.  I wanted to throw up. PLAYER: I recently saw someone eat a week old tuna sandwich. NPC: What?  Was that freezed to have stayed that long?,0.15,0.68,0.42,disgusted,empathetic
"I won a lottery PLAYER: Waited as the numbers spinned,and finally the call, that was mine! NPC: What game were you playing?",0.88,0.72,0.75,joyful,empathetic
"Lately, I got the best grades in my class at university. PLAYER: Lately, I got the best grades in my class at university. I am so happy NPC: Good job! A good education is great for your future.",0.78,0.62,0.72,proud,empathetic
I was very sure I was getting the promotion I asked for. PLAYER: I knew I was going to get the promotion I was up for. NPC: Congratulation. Good job.,0.75,0.55,0.78,confident,empathetic
My car burned down in a fire.  PLAYER: Unfortunately there was a fire in my garage yesterday. NPC: Oh my. How did that happen? I hope no one was hurt,0.08,0.58,0.12,devastated,empathetic
I feel apprehensive about an upcoming job interview. PLAYER: I have a job interview today NPC: OK get prepared!,0.18,0.58,0.35,apprehensive,empathetic
"As an athlete  ,I practice  10 hrs for the  forthcoming  competition  PLAYER: The Olympics  is around the corner NPC: Is it not about 2 years away?",0.62,0.48,0.75,prepared,empathetic
"Not too long ago a people stole my identity.  I am so upset by it. PLAYER: I recently has my identity stolen on the internet. NPC: Am so sorry,  how did you handle it?",0.12,0.79,0.58,angry,empathetic
"When i first joined college i failed most of my units because i had underestimated how good someone needs to prepare before going for an exam paper PLAYER: I failed most of my Units in my first year of study in college. NPC: That's terrible, will you be able to stay in school?",0.15,0.42,0.18,sad,empathetic
I am very happy that Canada replied to Trump by increasing taxes on some us products. PLAYER: I am very happy that Canada replied to Trump by increasing taxes on some us products. NPC: yes it appears a trade war might happen now!,0.78,0.62,0.72,proud,empathetic
"My father bought me a new luxury car. PLAYER: Hi, I have desired a Porsche for many years and my father bought it for me yesterday! NPC: That is a great surprise. Did you drive it?",0.78,0.82,0.62,excited,empathetic
"The other week I was walking a friend's dog as a favour, but while out with the dog I lost it and could not find it for ages. It had run off into some trees, I was really getting anxious about it PLAYER: Luckily it didn't end unhappily, the dog came back NPC: It ran away? Better make sure can't do that again. Stressful",0.15,0.72,0.28,anxious,empathetic
I get angry with Prime Minister's question time. The MPs just shout at each other. PLAYER: Are you in the US? We have a thing in the UK called Prime Minister's Question Time which is like a debate shown on TV of our parliament. It makes me very angry. NPC: I am in the US. Why does it make you so angry? I've never heard about.,0.12,0.79,0.58,angry,empathetic
"I forgot my wife's birthday. PLAYER: Unfortunately, I forgot it was my wife's birthday yesterday! NPC: Oh man that's a good way to end up on the couch.",0.18,0.62,0.32,guilty,empathetic
I wish I had my neighbors nice new car. PLAYER: I really wish I had my neighbor's new car. NPC: Why is that? Is it your favorite type of car?,0.22,0.68,0.48,jealous,empathetic
I recently found out that my wife is pregnant.  I was so shocked by the news. PLAYER: I recently found out my wife is pregnant. NPC: Congratulations. We have a boy on the way. 3 months to go!,0.65,0.78,0.55,surprised,empathetic
"I felt really bad when I cheated on my Math test. PLAYER: I felt pretty bad after I cheated on my Math test. NPC: Well, that really  bad!",0.12,0.45,0.18,ashamed,empathetic
"I visited a car manufacturing  company, you need to see the 2019model  PLAYER: You need to see the customized version NPC: The customized version of what?",0.72,0.62,0.58,impressed,empathetic
I feel really let down because I ordered some vitamins for my dog on eBay and they never showed up even thought they were supposed to have been shipped. PLAYER: My dog won't have his vitamins for his allergies now for another week because of this foobar situation. NPC: Oh wow that seems like a bad situation.,0.18,0.52,0.28,disappointed,empathetic
I remember this time two years ago when I was expecting my youngest child we didn't know whether she would be a boy or girl. I was so excited when they told me the results were a girl. PLAYER: I remember this time two years ago when I was expecting my youngest child we didn't know whether she would be a boy or a girl. I was so excited when they told me the results were a girl. NPC: What a happy time I bet you were very prouod and excited!! :-,0.68,0.48,0.62,hopeful,empathetic
"My grandmother is the prson that taught me how to cook. She is at the age now where she doesn't cook much anymore. Recently, she gave me all of her cookbooks and her apron. PLAYER: My grandmother is the person that taught me how to cook. NPC: Nice!  What is your favorite dish that she taught you?",0.58,0.42,0.45,sentimental,empathetic
I got really mad yesterday because my husband made a huge mess in the house. PLAYER: I got really mad yesterday because my husband made a huge mess in the house. NPC: Oh wow. That sounds like me and my husband!,0.12,0.92,0.52,furious,empathetic
I feel sad when I left home PLAYER: Leaving home makes me feel unhappy NPC: That makes me so sad. Why is that so?,0.15,0.42,0.18,sad,empathetic
I saw a person being obnoxious and horribly racist to someone and could not stand it! I PLAYER: Another thing that makes me sad is when someone is being racist. I saw someone being very obnoxious the other day and it was awful. NPC: That is a reason to be sad but also to be furious,0.15,0.68,0.42,disgusted,empathetic
Last week was my birthday and I didn't get not one present. PLAYER: My birthday was last week.  It was a really upsetting day. NPC: Sorry to hear that. Why is that?,0.18,0.52,0.28,disappointed,empathetic
I trusted my coworker to get the report printed by the deadline by he did not. PLAYER: I trusted my coworker to type up an important report but he did not. NPC: So did you get in trouble for it?,0.12,0.92,0.52,furious,empathetic
I recently saw a baby who vomited on his mother.  I was so grossed out by it. PLAYER: I recently saw a baby vomit on his mother. NPC: That is pretty gross but it happens often.,0.15,0.68,0.42,disgusted,empathetic
I can't wait to go to the amusement park! PLAYER: I can't wait to go to the amusement park again! NPC: That sounds like so much fun!,0.78,0.82,0.62,excited,empathetic
"My friend broke my phone that I had worked hard to buy PLAYER: I bought a really expensive phone that I worked very hard to buy. Sadly, my friend dropped it and broke it. NPC: have they offered to buy you a replacement?",0.12,0.79,0.58,angry,empathetic
My grandmother has Alzheimer's. I've been visiting her in the nursing home. I've been helping her remember things. PLAYER: My grandmother was recently diagnosed with Alzheimer's. NPC: Sorry to hear that.IS she going to be under treatment?,0.5,0.5,0.5,caring,empathetic
"I feel sure that I can get my goals done PLAYER: Goals are a very important part of our life NPC: Yes, they are. They keep us motivated.",0.75,0.55,0.78,confident,empathetic
My roommate recently started smoking marijuana and keeps it in my girlfriend's home now. It reeks in the hall and aggravates me in my office as well. PLAYER: I've asked my roommate to keep the smell contained but it still smells strong as we have a smaller 3 bedroom house. Part of the problems is his bed linen and clothes are always dirty. NPC: Have you talked to him about being a bit cleaner in general?,0.2,0.65,0.42,annoyed,empathetic
"I watched a film recently at the theater and it was really good, so that made me feel happy. PLAYER: I felt really good tonight after I got back from the cinema. NPC: Oh that sounds like fun! What kind of film did you see?",0.88,0.72,0.75,joyful,empathetic
"As i was sick, I'm unable to go to my school and I stayed in room. I miss my mom now. PLAYER: I didn't go to school today. NPC: Do you want to do something special today?",0.18,0.48,0.22,lonely,empathetic
I felt like I had to watch over my dad when he got sick. I just needed to make sure he was going to be okay PLAYER: I had to watch over my dad when he got sick. I just felt like I needed to make sure he was going to be okay NPC: That must've been hard. I love my dad the most of all family members,0.5,0.5,0.5,caring,empathetic
when my daughter had a meltdown in the store  PLAYER: I know I shouldnt have felt the way I did but man it was hard when my daughter threw a fit at the store! NPC: What did happen in the store? Why did your daughter throw a fit?,0.15,0.55,0.22,embarrassed,empathetic
My son played a role in drama and won the best actor trophy. I just happy about it.  PLAYER: My little son won a trophy for the best actor. NPC: thats so adorable! how old is he?,0.78,0.62,0.72,proud,empathetic
"My sister never has money but last month she got me an expensive lawnmower , i was shocked PLAYER: my sister is always broke but last month she got me an expensive lawnmower NPC: oh cool how much was it?",0.65,0.78,0.55,surprised,empathetic
when my daughter broke her tooth  PLAYER: The worst thing happened the other day. NPC: tell me more about this,0.08,0.58,0.12,devastated,empathetic
My son scored a goal in a football match PLAYER: My son scored a goal in a football match yesterday NPC: Well done. You must be very proud of him.,0.78,0.62,0.72,proud,empathetic
"My board meeting which I had prepared for was cancelled at the last minute PLAYER: Hi, yesterday I had a board meeting which I really prepared for, but it was cancelled at the last minute! NPC: How did you feel, relieved or disappointed?",0.2,0.65,0.42,annoyed,empathetic
I felt I had the experience and personality to do well in an interview for a job I had applied for PLAYER: So I went into the interview feeling somewhat confident NPC: And what happened then?,0.62,0.48,0.75,prepared,empathetic
I felt bad when I lied to my dad about missing a lunch meeting. I was hungover but told him I was sick PLAYER: I felt bad when I lied to my dad about missing a lunch meeting. I said I was sick and I was not NPC: What did you do instead?,0.18,0.62,0.32,guilty,empathetic
when i found my dads old t shirt  PLAYER: The other day I was going thru things and found my dads old t shirt. NPC: I am sure that brought back memories,0.58,0.42,0.45,sentimental,empathetic
I have this vacation planned this weekend and I just am crossing my fingers that we will have a good time and everything will go smoothly PLAYER: I have this vacation planned for this weekend but I am worried NPC: What are you worried about?,0.68,0.48,0.62,hopeful,empathetic
My car burned down. PLAYER: There was fire in my garage yesterday! NPC: Oh no! Are you ok?,0.08,0.58,0.12,devastated,empathetic
"when i found out good news in 1 day  PLAYER: I had such an amazing day yesterday it was insane. NPC: Oh, tell me what happened.",0.78,0.82,0.62,excited,empathetic
I saw a man juggling 10 balls at the same time. I was certainly humbled by his performance. PLAYER: I recently saw a man juggling 10 balls at the same time. NPC: thats so cool where were you when you seen that?,0.72,0.62,0.58,impressed,empathetic
I was dunk and forgot my girlfriends birthday once. PLAYER: I was drunk once and completely forgot my girlfriends birthday NPC: that happens to everyone,0.12,0.45,0.18,ashamed,empathetic
"i was walking around the beach a few days ago because i am in better shape this summer PLAYER: i worked hard this summer to lose my belly, i was walking around the beach with confidence . I think i'm hot now NPC: Well done to you. Its not so easy to lose weight. What motivated you?",0.75,0.55,0.78,confident,empathetic
"I have always been a laid back person.  I never get too worried about anything. PLAYER: I have always been a laid back person. I never get too worried about anything. NPC: It's a good attitude, it keeps you young",0.68,0.25,0.58,content,empathetic
I have had lots of problems with my girlfriend but we have worked through them and have remained true to each other. PLAYER: Hi friend. I have had a lot of problems with my girlfriend NPC: I've been there. That must be rough. What's going on ?,0.72,0.45,0.68,faithful,empathetic
im so ready to see what the future holds  PLAYER: I am so impatient and ready overwhelmed all of it! NPC: What are you overwhelmed by,0.15,0.72,0.28,anxious,empathetic
"When a storm touched down close to my house, it was scary. I was not sure I was going to make it PLAYER: I was really scared when a bad storm hit close to my house. I thought we could have died NPC: omg.. sounds terrible.. do you usually get storms like that in your area?",0.08,0.92,0.15,terrified,empathetic
"I missed my wife's anniversary.  PLAYER: Sadly, I missed my wife's wedding anniversary NPC: I'm sorry, how did she take it?",0.18,0.62,0.32,guilty,empathetic
I recently watched a hot dog eating contest.  I was sickened by what I saw. PLAYER: I recently saw a hot dog eating contest. NPC: It must have been quite interesting. Did it make you feel hungry?,0.15,0.68,0.42,disgusted,empathetic
I was so ready to go camping with my friends. PLAYER: I was so ready to go camping with my friends. NPC: Then?,0.62,0.48,0.75,prepared,empathetic
I lost a dear friend 2 days ago PLAYER: He struggled  with cancer for 2 years NPC: Who did? And I'm sorry to hear that.,0.15,0.42,0.18,sad,empathetic
My coworker gave me a very poor standard of work PLAYER: I trusted my coworker to give my a high standard of work but he did not. NPC: thats a terrible situation you are in has it been resolved?,0.18,0.52,0.28,disappointed,empathetic
"That i quit my job  PLAYER: I am feeling kind of bad about my decision to quit my job. I hope I didnt make the wrong choice. NPC: I see, it will be alright. You just have to be positive!",0.12,0.45,0.18,ashamed,empathetic
I was happy when my brother graduated college. I was just happy for him PLAYER: I was happy when my brother finished college. He really did deserve it NPC: How long did he study for?,0.78,0.62,0.72,proud,empathetic
"my daughter starts school this year! im pretty ahhh about it honestly!  PLAYER: My first born is going to be starting school this year, exciting! NPC: I am sure they will do fine",0.65,0.62,0.58,anticipating,empathetic
knew things were going to be alright for me when I dropped out of college. My dad was there for me a lot PLAYER: My dad was there for me when I dropped out of college. I knew things would be okay because of him NPC: That is an example of an awesome parent.  It is good to know he has got your back!,0.72,0.45,0.68,faithful,empathetic
"For the 3rd month in a row, I have received and incorrect cell phone bill!  I feel like screaming at the customer care representatives! PLAYER: For the 3rd month in a row, I have received and incorrect cell phone bill! I feel like screaming at the customer care representatives! NPC: That sounds so annoying",0.12,0.79,0.58,angry,empathetic
"I knew I could believe in my dad. He assured me he was going to find me a truck PLAYER: I knew my dad could help me find a new truck. I just believed in him NPC: Well, it is a good thing you had so much faith in your father.",0.72,0.45,0.68,faithful,empathetic
"Waking up before sunrise reminds me of the thrill mixed with dread I felt on high school wrestling tournament days. PLAYER: Waking up super early reminds me of tournament days when I wrestled back in high school...the feeling of raw determination and hunger for victory mixed with dread, it's a pretty oxymoronic combination NPC: I bet you were good at it",0.55,0.32,0.48,nostalgic,empathetic
"When a tornado warning came on the screen, I was scared. I thought it was coming for us PLAYER: I was scared when we had a tornado warning. I thought it was coming straight for us NPC: Oh wow.  Have you ever been in a torando?",0.12,0.83,0.25,afraid,empathetic
"My boss fired me for no reason PLAYER: Hi, my boss my fired me for no reason NPC: I'm sorry, I think it's an opportunity to start a new job better",0.12,0.79,0.58,angry,empathetic
i can not believe i fixed my washing machine on my own.  PLAYER: I literally youtubed a how to video on taking apart and repairing a washing machine... and I repaired it for 17 dollars! NPC: ... I congratulate you ... it's good news!,0.72,0.62,0.58,impressed,empathetic
I used to be scared of sparring in the ring because guys 3 times my size would usually kick the crap out of me. PLAYER: In boxing I used to be scared to spar guys who were bigger because I would get my butt kicked.  Then I learned about timing and proper technique and gained more confidence when I was able to hit them back NPC: i believe this story please tell me ore,0.12,0.83,0.25,afraid,empathetic
"i saw a beggar on the road and she was pregnant, i wanted to take care of her child PLAYER: this woman was very pretty and she was begging at the side of the road, i wanted to take her home with me NPC: So...what did you do",0.5,0.5,0.5,caring,empathetic
that i am going to a concert after work  PLAYER: I cant wait for work to finish today. I am headed out to a concert to have some fun! NPC: That sounds like a blast. Who are you going to see?,0.88,0.72,0.75,joyful,empathetic
"My neighbor got this fancy audi that i saw at the dealership, it must have cost 70k. Very nice car PLAYER: My neighbor just bought this fancy car, i think its an Audi. Probably cost him 70K but he works at a call center, i dont know how he can afford that on $10 p/h NPC: whaaat that is insane! Alright he must be doing something really LEGAL right? lol",0.2,0.65,0.42,annoyed,empathetic
feeling at peace right now with life  PLAYER: I am really feeling at peace today with life. Its a good feeling to feel good right? NPC: I agree but you do not need much in life to be happy if you are a content person,0.68,0.25,0.58,content,empathetic
"my neighbor just installed a fancy pool , must have cost him 40k PLAYER: my neighbor just installed a 40k pool, i think its a waste of money NPC: Maybe, but maybe not. I bet it would be a lot of fun to have such a nice pool if you had the money for it.",0.22,0.68,0.48,jealous,empathetic
"when i found out i passed my final exam  PLAYER: I wont forget the day I found out I passed my final exam, and my dad was promising to take me out on a vacation. NPC: did he ?",0.78,0.62,0.72,proud,empathetic
"tonight... i really am bc my house is under contract  PLAYER: Im so on the edge of my seat. My house went under contract yesterday, and today I find out the closing date. NPC: wow i closed 2 weeks ago",0.15,0.72,0.28,anxious,empathetic
i once stole some beer from the store PLAYER: i dont steal but i stole beer from a store once NPC: were you drunk?,0.18,0.62,0.32,guilty,empathetic
i let my friend take my car to work  PLAYER: I let my friend take my car to work today. NPC: hope he takes care of it,0.68,0.38,0.58,trusting,empathetic
"i saw this bum poop on his matress once and covered it with his blanket PLAYER: this bum was pooping on the matress he was sleeping on, i was flabbergasted NPC: that literally makes no sense like i get it you are homeless but no reason to be dirty! ugh",0.15,0.68,0.42,disgusted,empathetic
"I was living at a backpackers and had tried talking to this cute German girl but she just ignored me all the time. So I thought she hated me.  Until she decided to open up one night and let me get to second base.  PLAYER: I had tried chatting up this cute German girl at a hostel I used to live at but she just kept ignoring me.  I thought she hated me until she just opened up one night...and let me get to second base...mind blown I've just accepted I'll never understand women NPC: Well, go ahead, know that women are an art, that you get many attempts",0.65,0.78,0.55,surprised,empathetic
"I maxed out my credit card last holiday season, i dont usually do that PLAYER: i maxed out all my cards last christmas season, i am so dissapointed by myself NPC: You're not alone I've got a bunch of debt to pay off",0.18,0.52,0.28,disappointed,empathetic
"Looking back to the useless deadbeat I was back then...I'm really glad I've decided to man up and make something of myself PLAYER: I sometimes look back at my old, deadbeat childish self...and am so glad that I decided to man up and start making something of myself sooner than later NPC: i am so proud of you, keep it up",0.75,0.45,0.52,grateful,empathetic
i lied to my father  PLAYER: I lied to my dad when I was younger and I hope my child doesnt do the same. NPC: Sometimes you've gotta live with regrets.  Accept it as part of your past life and move on,0.18,0.62,0.32,guilty,empathetic
I live everyday expecting to be a better version of myself at that present moment.  That way I can feel closer and closer to living the idea life I want for myself PLAYER: I go to bed every night expecting to wake up a better version of myself than the day before. NPC: that is a very positive way to think i wish i could think like you,0.65,0.62,0.58,anticipating,empathetic
"my rent increased  PLAYER: I am so upset with how my rent continues to increase! NPC: I know, it's awful! How much did your rent go up?",0.12,0.79,0.58,angry,empathetic
when i found cockroaches in my apt  PLAYER: I couldnt sleep for a month when I first moved into my apartment. It was full of cockroaches. NPC: That's gross! Did you complain to your landlord?,0.15,0.68,0.42,disgusted,empathetic
"The only thing I'm attached to these days is my unquenchable lust for success...I love it because it drives me, compelling me to act creatively without fear and I really pray I never lose it PLAYER: I never want to lose my unquenchable lust for success...I love it because it drives me, compelling me to act creatively without fear and I never want to lose it NPC: you sound so motivated, that's really great! I believe in you",0.68,0.48,0.62,hopeful,empathetic
Those old coca cola ads remind me of my childhood. I tear up just thinking about them. PLAYER: Do you remember those old coca cola christmas ad with the 18 wheeler. They remind me of my childhood. NPC: I do remember that and I think there is a lot of nostalgia there,0.55,0.32,0.48,nostalgic,empathetic
"I surly was surprised when I found out I won a contest, it made me excited, as I didnt know what the prize was. It was a simple mailing that had a key inside, the company who sent it was a local and new lumber company. All I had to do was bring the key down to the cmpany and see which prize it unlocked PLAYER: I received a wonderful surprise one day NPC: Really! What was it?",0.68,0.48,0.62,hopeful,empathetic
of dying  PLAYER: I am terrified of death. NPC: I think most people are really.  Anything specific about it?,0.12,0.83,0.25,afraid,empathetic
"Yesterday at work, my boss recognized me for work that my coworker actually did.  I feel bad that I took credit for it. PLAYER: Yesterday at work, my boss recognized me for work that my coworker actually did. I feel bad that I took credit for it. NPC: Oh, that's awful. What will you do to make it right?",0.12,0.45,0.18,ashamed,empathetic
"Once I had a difficult pregnancy. After the baby was born and both he and I were healthy and safe, I was so grateful. PLAYER: When I was pregnant with my second child, I had a really difficult pregnancy. My midwife wasn't sure either of us would make it. NPC: Oh no!  It seems as though everything turned our OK, right?  I am sure you were strong!",0.88,0.72,0.75,joyful,empathetic
"this car nearly hit me head on while driving down the freeway at a medium speed PLAYER: i was driving down the road when this car was speeding towards me, nearly hit me head on NPC: Oh my!  I am glad to hear you managed to avoid the collision.",0.18,0.58,0.35,apprehensive,empathetic
"I have a dentist's appointment today.  I have always hated going to the dentist, so much pain. PLAYER: I am nervous about going to the dentist's office today. NPC: what are you getting done",0.15,0.72,0.28,anxious,empathetic
"my wife is going overseas with our baby, i'm so freaking nervous PLAYER: my wife is going overseas with our baby and i'm so nervous!!! NPC: give her an unlocked phone",0.15,0.72,0.28,anxious,empathetic
people keep stealing my parksing space in my neighborhood PLAYER: i cant even park where i want the neighbors keep stealing my parking spaces NPC: that's not nice of them. is that parking lot assigned to you?,0.12,0.92,0.52,furious,empathetic
"I've come a long way in life.  I'm proud of my progress and I continue to surprise myself everyday because my unbreakable focus on self betterment continues to reward me in unexpected ways PLAYER: I surprise myself everyday because my unbreakable focus on self betterment continues to reward me in unexpected ways"". NPC: Wow, you're so well spoken.",0.72,0.62,0.58,impressed,empathetic
I was really looking forward to the softball tournament this weekend.  It looks like not enough teams signed up to have the tournament. PLAYER: Well no softball tournament for me this weekend!  Not enough interest I guess. NPC: Maybe there is rain in the forecast,0.18,0.52,0.28,disappointed,empathetic
Bought some plant fertilizer and it burned my spearmint plant up and almost killed it.  Had to take it back to walmart. PLAYER: Got some plant fertilizer and it burned my spearmint plant. So I took it back to Walmart. NPC: I'm sorry to hear that.  Did they replace the plant as well?,0.75,0.55,0.78,confident,empathetic
i saw an old AOL disc at a fleamarket once PLAYER: remember those old AOL disc that they use to spam us with in the mail ? i saw one at a fleamarket NPC: Oh wow! I remember my parents getting them so much. Why would someone need that now?,0.55,0.32,0.48,nostalgic,empathetic
I was going through my childhood photos PLAYER: I was going through my childhood photo albums the other day. NPC: did you cry ?,0.55,0.32,0.48,nostalgic,empathetic
"i farted infront of a pretty girl in a train once PLAYER: this pretty girl was on the train and i accidentally farted loud infront of her NPC: Oh my, that must have been super embarrassing. Did you get red faced?",0.68,0.25,0.58,content,empathetic
"my sister gave me $400 once but she's always broke PLAYER: my sister gave me $400 but i know she's always broke, i wonder why NPC: That seemed nice of her, maybe she felt bad about something?",0.65,0.78,0.55,surprised,empathetic
my neighbours were so loud last night i didn't get enough sleep. uhhh PLAYER: my neighbors were so loud last night i didn't get enough sleep and now i feel so cranky!! NPC: uhhh i know how you feel!! we have some young neighbors downstairs and sometimes they have late night parties in their apartment,0.2,0.65,0.42,annoyed,empathetic
I think I have a coyote or wolf running around my area. I think it killed a little beaver that lived near the creek  near my house. PLAYER: I saw a wolf or coyote in my yard a while back and I think it killed a little beaver that lived in the creek  for years behind my house. NPC: That must have been amazing to see!  Did you try to scare it away or just watch it?  Be careful since it sounds like it may be dangerous.,0.08,0.58,0.12,devastated,empathetic
"My friend just purchased a new BMW after getting a large bonus!  I want his cor so bad it hurts! PLAYER: My friend just purchased a new BMW after getting a large bonus! I want his cor so bad it hurts! NPC: That was some bonus. If you go to I think South carolina, they have a factory somewhere there and they are cheaper I think",0.22,0.68,0.48,jealous,empathetic
"i like eating my toddlers candy PLAYER: sometimes i steal the candy and eat it that i buy for my  1 year old NPC: Aw, well I'm sure a child that young doesn't really need it.",0.18,0.62,0.32,guilty,empathetic
I felt very confident when I aced my job interview for my current job PLAYER: I felt very confident when I aced my job interview for my current job NPC: Thats good. One should always appreciate family.,0.75,0.55,0.78,confident,empathetic
"My cousin crashed my car PLAYER: He was, but I am livid with him, since he destroyed my car. NPC: That is fair, I would be as well",0.12,0.79,0.58,angry,empathetic
"my car made it all the way to Texas even though its a 1990 PLAYER: i have an old cart a 1990 corolla that made it all the way from Key west to Texas NPC: That is cool though, does it still run fine?",0.65,0.78,0.55,surprised,empathetic
I am hopeful that my new degree will land me a better job PLAYER: I am hopeful that my new degree will land me a better job NPC: it will,0.68,0.48,0.62,hopeful,empathetic
"I was devestated when my grandmother passed away, I still am not over that PLAYER: I was devestated when my grandmother passed away, I still am not over that NPC: Sorry to hear that. I have lost all my grandparents so I know the feeling.",0.08,0.58,0.12,devastated,empathetic
"A mommy deer got hit by a car in front of my house and she had two very little babies that are left wondering around my area . They won't leave and I'm afraid they're going to go into the road. PLAYER: A mommy deer got hit by a car in front of my house and her two babies keep hanging around looking for her. I'm afraid they're going to go in the road like she did and get killed. Ugh. NPC: That is so sad, humans made a huge impact on animals lives in that sense",0.08,0.92,0.15,terrified,empathetic
"I am content right now, I have a girlfriend, a good job, and a good group of friends PLAYER: I am content right now, I have a girlfriend, a good job, and a good group of friends NPC: That's great. It seems that everything is going well for you.",0.68,0.25,0.58,content,empathetic
I am excited for the new super smash bros game coming out for the switch soon PLAYER: I am excited for the new super smash bros game coming out for the switch soon NPC: wow i am happy for you,0.78,0.82,0.62,excited,empathetic
"i just bought my first house PLAYER: first time home owner here, so proud NPC: I am aspriing to be one, congrats!",0.88,0.72,0.75,joyful,empathetic
"I get sentimental about my brothers, they are very important to me PLAYER: I get sentimental about my brothers, they are very important to me NPC: I know how you feel.  I have siblings as well.  They are quite important and give life meaning.",0.58,0.42,0.45,sentimental,empathetic
My 15 year old cat just passed away.  I feel so empty and down in the dumps without him. PLAYER: My 15 year old cat just passed away. I feel so empty and down in the dumps without him. NPC: I am so sorry to hear that!,0.15,0.42,0.18,sad,empathetic
"Before I met my girlfriend and friends I was very lonely, that was not a fun time PLAYER: Before I met my girlfriend and friends I was very lonely, that was not a fun time NPC: I've been there, it can really suck to be lonely.  It sounds like you're doing better though :)",0.18,0.48,0.22,lonely,empathetic
i'm scared of people who speed PLAYER: people who speed scare me NPC: why is that?,0.12,0.83,0.25,afraid,empathetic
"I am excited for the new super smash bros game coming out for the switch soon PLAYER: I am excited for the new super smash bros game coming out for the switch soon NPC: That will be a ton of fun to play!  I rememeber when the first one came out, what a blast.  Now I have to go get a switch!",0.65,0.62,0.58,anticipating,empathetic
"I remember when my first child was born.  I was overcome with pride and happiness! PLAYER: I remember when my first child was born. I was overcome with pride and happiness! NPC: I would imagine, that is a huge event! My favorite game was Zelda by the way",0.88,0.72,0.75,joyful,empathetic
I am excited for the new super smash bros game coming out for the switch soon PLAYER: I am excited for the new super smash bros game coming out for the switch soon NPC: Sounds interesting. I'd love to check that out!,0.78,0.82,0.62,excited,empathetic
"I can't believe Lebron left for LA.  He should have stayed here in Cleveland where his home and family are. PLAYER: Lebron should have never signed with LA.  His home is here with us, his biggest fans since he was a kid, and his family. NPC: Lebron is preparing for life after basketball therefore he picked LA, he achieved what he wanted",0.22,0.68,0.48,jealous,empathetic
i have great kids and glad they are mines everyday PLAYER: My kids are pretty awesome NPC: Mine too.  How many do you have?,0.75,0.45,0.52,grateful,empathetic
I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked. PLAYER: I accidentally bumped into a guy at the mall and he dropped his phone and the screen cracked.  I felt really bad. NPC: maybe he was not watching where HE was going,0.18,0.62,0.32,guilty,empathetic
"my neighbor's cat keeps pooping on my balcony PLAYER: neighbor cat is nasty NPC: Thaqt is too bad.  I like cats, but not the mean ones, only the sweet ones.  What does the cat do that is so bad?",0.12,0.79,0.58,angry,empathetic
"I do not have any friends. PLAYER: Hi, I do not have any friends in my new city. NPC: hi, that's sad. have you tried looking for facebook events? like local events. i bet you can meet people there",0.18,0.48,0.22,lonely,empathetic
"I drank alcohol today at work PLAYER: Hi, i promised myself I would never drink again but I drank yesterday. NPC: It is a interesting and relaxing way to end a evening. Ive been there before.",0.18,0.62,0.32,guilty,empathetic
"My dog urinated on my work papers PLAYER: Hi, my dog urinated on my work documents yesterday. NPC: Oh my gosh, how terrible. Did you have them saved on your computer?",0.12,0.92,0.52,furious,empathetic
"I farted in front of a pretty girl PLAYER: Hi I was on the train yesterday and accidentally farted in front of a pretty girl NPC: That is terrible, is it someone you like? or did you not even know her?  I don't know which is worse.",0.15,0.55,0.22,embarrassed,empathetic
"I heard someone bumping around the downstairs of my house last night after I had gone to bed and it scared me half to death. PLAYER: I heard someone bumping around the downstairs of my house last night after I had gone to bed and it scared me half to death. NPC: Oh my, did you find out who it was?",0.08,0.92,0.15,terrified,empathetic
"I finally got a job PLAYER: I lost my job a couple of months ago and yesterday i finally got a full time job!! such a relive NPC: That is a relief Ive been in a similiar situation.  I know its hard to bring yourself out of a hole, I can barely see the light at the end of the tunnell",0.78,0.62,0.72,proud,empathetic
